title,artist,streams
Blinding Lights,The Weeknd,3857920072
Shape of You,Ed Sheeran,3471354623
Someone You Loved,Lewis Capaldi,2997329323
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2898068931
As It Was,Harry Styles,2819921279
Stay,The Kid LAROI,2770418108
Believer,Imagine Dragons,2710487465
Perfect,Ed Sheeran,2655813020
Heat Waves,Glass Animals,2629092505
Dance Monkey,Tones And I,2508984101
lovely,Billie Eilish,2462989479
Watermelon Sugar,Harry Styles,2374786402
One Dance,Drake,2070895060
Starboy,The Weeknd,2066371044
Say You Won't Let Go,James Arthur,2057466724
Don't Start Now,Dua Lipa,2053840589
rockstar,Post Malone,2052310834
Señorita,Shawn Mendes,2046655077
Sweater Weather,The Neighbourhood,1930499713
Circles,Post Malone,1887977040
bad guy,Billie Eilish,1884644878
Lucid Dreams,Juice WRLD,1819372412
Closer,The Chainsmokers,1783408318
Cold Heart - PNAU Remix,Elton John,1736846626
Shallow,Lady Gaga,1707756803
Another Love,Tom Odell,1653727847
INDUSTRY BABY,Lil Nas X,1629821771
good 4 u,Olivia Rodrigo,1622311439
Flowers,Miley Cyrus,1611834040
Me Porto Bonito,Bad Bunny,1597142155
drivers license,Olivia Rodrigo,1595963086
Save Your Tears,The Weeknd,1582418159
Levitating,Dua Lipa,1581427006
7 rings,Ariana Grande,1525751970
SAD!,XXXTENTACION,1501007363
Kill Bill,SZA,1488792456
Bohemian Rhapsody - Remastered 2011,Queen,1481297086
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,1475187557
Jocelyn Flores,XXXTENTACION,1447811195
Something Just Like This,The Chainsmokers,1444582214
MONTERO (Call Me By Your Name),Lil Nas X,1437151704
goosebumps,Travis Scott,1428201169
SICKO MODE,Travis Scott,1425985849
God's Plan,Drake,1419636888
La Bachata,Manuel Turizo,1398453883
Dynamite,BTS,1392283880
Roses - Imanbek Remix,SAINt JHN,1388148423
Mood,24kGoldn,1377292794
Memories,Maroon 5,1370441199
Bad Habits,Ed Sheeran,1350227445
Easy On Me,Adele,1348852670
All I Want for Christmas Is You,Mariah Carey,1335814112
I'm Good (Blue),David Guetta,1329978640
Die For You,The Weeknd,1327033719
Unholy,Sam Smith,1324265059
DÁKITI,Bad Bunny,1323144052
Riptide,Vance Joy,1316171669
Kiss Me More,Doja Cat,1311295293
Happier,Marshmello,1302211159
Havana,Camila Cabello,1288873382
I Ain't Worried,OneRepublic,1278303529
Anti-Hero,Taylor Swift,1269873437
Tití Me Preguntó,Bad Bunny,1253903760
Thinking out Loud,Ed Sheeran,1252437081
Photograph,Ed Sheeran,1249370487
The Box,Roddy Ricch,1243739975
Yellow,Coldplay,1243362453
Ghost,Justin Bieber,1242490642
Take Me To Church,Hozier,1241361153
Shivers,Ed Sheeran,1236107580
One Kiss,Calvin Harris,1228015420
I Don't Care,Ed Sheeran,1226341816
Better Now,Post Malone,1218871302
ROCKSTAR,DaBaby,1218421504
Peaches,Justin Bieber,1208278824
Thunder,Imagine Dragons,1193833999
No Role Modelz,J. Cole,1189638953
Counting Stars,OneRepublic,1185668266
Before You Go,Lewis Capaldi,1180738967
Ojitos Lindos,Bad Bunny,1180213497
Without Me,Halsey,1168628874
I Wanna Be Yours,Arctic Monkeys,1154887472
Dandelions,Ruth B.,1150631221
Calm Down,Rema,1147117377
New Rules,Dua Lipa,1140597500
Woman,Doja Cat,1107964408
All of Me,John Legend,1107456304
Beggin',Måneskin,1097657144
Heather,Conan Gray,1093340307
Pepas,Farruko,1092223873
Yonaguni,Bad Bunny,1091187590
Creepin',Metro Boomin,1087439244
"thank u, next",Ariana Grande,1086433407
Girls Like You,Maroon 5,1081119035
Despacito - Remix,Luis Fonsi,1072194101
The Hills,The Weeknd,1068801398
deja vu,Olivia Rodrigo,1060769927
XO TOUR Llif3,Lil Uzi Vert,1058173866
Last Christmas,Wham!,1042111104
when the party's over,Billie Eilish,1037957672
Moonlight,XXXTENTACION,1031086017
Efecto,Bad Bunny,1013471014
Cruel Summer,Taylor Swift,1013039874
Seven,Jung Kook,1011787813
Adore You,Harry Styles,1009588110
traitor,Olivia Rodrigo,998511744
Ella Baila Sola,Eslabon Armado,998262768
Without Me,Eminem,998145545
death bed,Powfu,996603124
ROXANNE,Arizona Zervas,995796741
HUMBLE.,Kendrick Lamar,995359130
Congratulations,Post Malone,994460066
Falling,Trevor Daniel,982655543
Tusa,KAROL G,981019287
Bones,Imagine Dragons,976931224
Love Yourself,Justin Bieber,976161708
Old Town Road - Remix,Lil Nas X,972399663
Eastside,benny blanco,966793467
I Like Me Better,Lauv,965966212
Blank Space,Taylor Swift,963485811
Youngblood,5 Seconds of Summer,959545880
Wow.,Post Malone,942911527
LA CANCIÓN,J Balvin,942838258
505,Arctic Monkeys,939284051
Sorry,Justin Bieber,936550004
Sweet but Psycho,Ava Max,934522409
Don't Let Me Down,The Chainsmokers,930379946
HIGHEST IN THE ROOM,Travis Scott,928798142
positions,Ariana Grande,916255755
I Like It,Cardi B,909100262
Lean On,Major Lazer,903501246
Glimpse of Us,Joji,903289026
Todo De Ti,Rauw Alejandro,902083204
golden hour,JVKE,901561263
Psycho,Post Malone,897922392
