title,artist,streams,id,image,preview,popularity,url,release_date,artistId,rap,pop,rock,edm,latin,kpop,country
Blinding Lights,The Weeknd,3857920072,0VjIjW4GlUZAMYd2vXMi3b,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,https://p.scdn.co/mp3-preview/51c08d92815cce4ac2de94a7335a430b81234624?cid=e06033cb82944a2fabf676f565716d87,92.0,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-03-20,1Xyo4u8uXC1ZmMpatF05PJ,True,True,,,,,
Shape of You,Ed Sheeran,3471354623,7qiZfU4dY1lWllzX7mPBI3,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,https://p.scdn.co/mp3-preview/7339548839a263fd721d01eb3364a848cad16fa7?cid=e06033cb82944a2fabf676f565716d87,88.0,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-03-03,6eUKZXaKkcviH0Ku9w2n3V,,True,,,,,
Someone You Loved,Lewis Capaldi,2997329323,7qEHsqek33rTcFNT9PFqLf,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,https://p.scdn.co/mp3-preview/d0a8c5301bb8468037f613b2f5d3f9ab232f8923?cid=e06033cb82944a2fabf676f565716d87,91.0,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2019-05-17,4GNC7GD6oZMSxPGyXy4MNB,,True,,,,,
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2898068931,0RiRZpuVRbi7oqRdSMwhQY,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,https://p.scdn.co/mp3-preview/3c0788c6aba94192edcb497d9a02075bf76c5400?cid=e06033cb82944a2fabf676f565716d87,87.0,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,2019-09-06,246dkjvS1zLTtiykXe5h60,True,True,,,,,
As It Was,Harry Styles,2819921279,4Dvkj6JhhA12EX05fT7y2e,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,https://p.scdn.co/mp3-preview/c43dd07043b29e800c1a65b3a0102861fa3cf418?cid=e06033cb82944a2fabf676f565716d87,94.0,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,2022-05-20,6KImCVD70vtIoJWnq6nGn3,,True,,,,,
Stay,The Kid LAROI,2770418108,5HCyWlXZPP0y6Gqq8TgA20,https://i.scdn.co/image/ab67616d0000b27341e31d6ea1d493dd77933ee5,https://p.scdn.co/mp3-preview/718a2eb032524494a01f73d80af2bcf176c9f3e2?cid=e06033cb82944a2fabf676f565716d87,85.0,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20,2021-07-09,2tIP7SsRs7vjIcLrU85W8J,True,,,,,,
Believer,Imagine Dragons,2710487465,0pqnGHJpmpxLKifKRmU6WP,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,https://p.scdn.co/mp3-preview/7d2f1ec114c44ecfa8b9017ad1c01cb041c8e613?cid=e06033cb82944a2fabf676f565716d87,89.0,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2017-06-23,53XhwfbYqKCa1cC15pYq2q,,True,True,,,,
Perfect,Ed Sheeran,2655813020,0tgVpDi06FyKpA1z0VMD4v,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,https://p.scdn.co/mp3-preview/4e30857a3c7da3f8891483643e310bb233afadd2?cid=e06033cb82944a2fabf676f565716d87,90.0,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2017-03-03,6eUKZXaKkcviH0Ku9w2n3V,,True,,,,,
Heat Waves,Glass Animals,2629092505,3USxtqRwSYz57Ewm6wWRMp,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464,https://p.scdn.co/mp3-preview/3ad42c65bc41d0845369a662a21d0c1e25df67fa?cid=e06033cb82944a2fabf676f565716d87,90.0,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp,2020-08-07,4yvcSjfu4PC0CYQyLy4wSq,,True,True,,,,
Dance Monkey,Tones And I,2508984101,2XU0oxnq2qxCpomAAuJY8K,https://i.scdn.co/image/ab67616d0000b273c6f7af36ecdc3ed6e0a1f169,https://p.scdn.co/mp3-preview/d03d7e46e89547f5a1994483f27e221c8de1f5c5?cid=e06033cb82944a2fabf676f565716d87,78.0,https://open.spotify.com/track/2XU0oxnq2qxCpomAAuJY8K,2019-10-17,2NjfBq1NflQcKSeiDooVjY,,True,,,,,
lovely,Billie Eilish,2462989479,0u2P5u6lvoDfwTYjAADbn4,https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c,https://p.scdn.co/mp3-preview/18b3cbbad11e488c24c76d0c697cec8618c15f96?cid=e06033cb82944a2fabf676f565716d87,90.0,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,2018-04-19,6qqNVTkY8uBg9cP3Jd7DAH,,True,,,,,
Watermelon Sugar,Harry Styles,2374786402,6UelLqGlWMcVH1E5c4H7lY,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,https://p.scdn.co/mp3-preview/824cd58da2e9a15eeaaa6746becc09093547a09b?cid=e06033cb82944a2fabf676f565716d87,88.0,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,2019-12-13,6KImCVD70vtIoJWnq6nGn3,,True,,,,,
One Dance,Drake,2070895060,1zi7xx7UVEFkmKfv06H8x0,https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c,https://p.scdn.co/mp3-preview/0ee5843f6060102ce4ac239c856c452439e3d9d2?cid=e06033cb82944a2fabf676f565716d87,89.0,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0,2016-05-06,3TVXtAsR1Inumwj472S9r4,True,True,,,,,
Starboy,The Weeknd,2066371044,7MXVkk9YMctZqd1Srtv4MB,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,https://p.scdn.co/mp3-preview/57c1238d183c40da3157c2892346f58445b1377c?cid=e06033cb82944a2fabf676f565716d87,94.0,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,2016-11-25,1Xyo4u8uXC1ZmMpatF05PJ,True,True,,,,,
Say You Won't Let Go,James Arthur,2057466724,5uCax9HTNlzGybIStD3vDh,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab,https://p.scdn.co/mp3-preview/2eed95a3c08cd10669768ce60d1140f85ba8b951?cid=e06033cb82944a2fabf676f565716d87,88.0,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2016-10-28,4IWBUUAFIplrNtaOHcJPRM,,True,,,,,
Don't Start Now,Dua Lipa,2053840589,3PfIrDoz19wz7qK7tYeu62,https://i.scdn.co/image/ab67616d0000b2734bc66095f8a70bc4e6593f4f,https://p.scdn.co/mp3-preview/cfc6684fc467e40bb9c7e6da2ea1b22eeccb211c?cid=e06033cb82944a2fabf676f565716d87,84.0,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,2020-03-27,6M2wZ9GZgrQXHCFfjv46we,,True,,True,,,
rockstar,Post Malone,2052310834,0e7ipj03S05BNilyu5bRzt,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268,https://p.scdn.co/mp3-preview/beb04a51a925ea2ed2fb7c2363b7b3fa37ebc89b?cid=e06033cb82944a2fabf676f565716d87,85.0,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2018-04-27,246dkjvS1zLTtiykXe5h60,True,True,,,,,
Señorita,Shawn Mendes,2046655077,6v3KW9xbzN5yKLt9YKDYA2,https://i.scdn.co/image/ab67616d0000b273c820f033bd82bef4355d1563,https://p.scdn.co/mp3-preview/cf6ae4e497f91c285cc57ec2be36bbad2133af47?cid=e06033cb82944a2fabf676f565716d87,82.0,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-06-19,7n2wHs1TKAczGzO7Dd2rGr,,True,,,,,
Sweater Weather,The Neighbourhood,1930499713,2QjOHCTQ1Jl3zawyYOpxh6,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,https://p.scdn.co/mp3-preview/877602f424a9dea277b13301ffc516f9fd1fbe7e?cid=e06033cb82944a2fabf676f565716d87,93.0,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,2013-04-19,77SW9BnxLY8rJ0RciFqkHh,,True,True,,,,
Circles,Post Malone,1887977040,21jGcNKet2qwijlDFuPiPb,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,https://p.scdn.co/mp3-preview/193a0924b0f73d211131bf2fb0bddb7202176202?cid=e06033cb82944a2fabf676f565716d87,89.0,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019-09-06,246dkjvS1zLTtiykXe5h60,True,True,,,,,
bad guy,Billie Eilish,1884644878,2Fxmhks0bxGSBdJ92vM42m,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce,https://p.scdn.co/mp3-preview/3d1ec5e181c3427ead96e3be34d606e3fc522a71?cid=e06033cb82944a2fabf676f565716d87,84.0,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-03-29,6qqNVTkY8uBg9cP3Jd7DAH,,True,,,,,
Lucid Dreams,Juice WRLD,1819372412,285pBltuF7vW8TeWk8hdRR,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,https://p.scdn.co/mp3-preview/85ba40ef782e993bac9ee1c945f90c123b11ffec?cid=e06033cb82944a2fabf676f565716d87,86.0,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2018-12-10,4MCBfE4596Uoi2O4DtmEMz,True,,,,,,
Closer,The Chainsmokers,1783408318,7BKLCZ1jbUBVqRi2FVlTVw,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453,https://p.scdn.co/mp3-preview/cfd565c4d3c621771e6d25d99749b9fc200e396c?cid=e06033cb82944a2fabf676f565716d87,86.0,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2016-07-29,69GGBxA162lTqCwzJG5jLp,,True,,,,,
Cold Heart - PNAU Remix,Elton John,1736846626,6zSpb8dQRaw0M1dK8PBwQz,https://i.scdn.co/image/ab67616d0000b2739f5cce8304c42d3a5463fd23,https://p.scdn.co/mp3-preview/2b3e7aadb75891a4ceccb69d54d60d0fb5178500?cid=e06033cb82944a2fabf676f565716d87,85.0,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz,2021-08-13,3PhoLpVuITZKcymswpck5b,,,True,,,,
Shallow,Lady Gaga,1707756803,2VxeLyX666F8uXCJ0dZF8B,https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342,https://p.scdn.co/mp3-preview/ad2317459e4acec34d54fc34282089bfb58fc9c5?cid=e06033cb82944a2fabf676f565716d87,86.0,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2018-10-05,1HY2Jd0NmPuamShAr6KMms,,True,,True,,,
Another Love,Tom Odell,1653727847,3JvKfv6T31zO0ini8iNItO,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f,https://p.scdn.co/mp3-preview/0369cb748bc968ffd34fb4ac60f5403f2aad032f?cid=e06033cb82944a2fabf676f565716d87,92.0,https://open.spotify.com/track/3JvKfv6T31zO0ini8iNItO,2013-06-24,2txHhyCwHjUEpJjWrEyqyX,,True,,,,,
INDUSTRY BABY,Lil Nas X,1629821771,5Z9KJZvQzH6PFmb8SNkxuk,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd,https://p.scdn.co/mp3-preview/2bfa1aca3b507df2cc3aac0b37bbc05b74c096cd?cid=e06033cb82944a2fabf676f565716d87,79.0,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk,2021-09-17,7jVv8c5Fj3E9VhNjxT4snq,True,,,,,,
