title,artist,streams,id,image
Blinding Lights,The Weeknd,3857920072,0VjIjW4GlUZAMYd2vXMi3b,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
Shape of You,Ed Sheeran,3471354623,7qiZfU4dY1lWllzX7mPBI3,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
Someone You Loved,Lewis Capaldi,2997329323,7qEHsqek33rTcFNT9PFqLf,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2898068931,0RiRZpuVRbi7oqRdSMwhQY,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02
As It Was,Harry Styles,2819921279,4Dvkj6JhhA12EX05fT7y2e,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
Stay,The Kid LAROI,2770418108,5HCyWlXZPP0y6Gqq8TgA20,https://i.scdn.co/image/ab67616d0000b27341e31d6ea1d493dd77933ee5
Believer,Imagine Dragons,2710487465,0pqnGHJpmpxLKifKRmU6WP,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a
Perfect,Ed Sheeran,2655813020,0tgVpDi06FyKpA1z0VMD4v,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
Heat Waves,Glass Animals,2629092505,3USxtqRwSYz57Ewm6wWRMp,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464
Dance Monkey,Tones And I,2508984101,2XU0oxnq2qxCpomAAuJY8K,https://i.scdn.co/image/ab67616d0000b273c6f7af36ecdc3ed6e0a1f169
lovely,Billie Eilish,2462989479,0u2P5u6lvoDfwTYjAADbn4,https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c
Watermelon Sugar,Harry Styles,2374786402,6UelLqGlWMcVH1E5c4H7lY,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
One Dance,Drake,2070895060,1zi7xx7UVEFkmKfv06H8x0,https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c
Starboy,The Weeknd,2066371044,7MXVkk9YMctZqd1Srtv4MB,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452
Say You Won't Let Go,James Arthur,2057466724,5uCax9HTNlzGybIStD3vDh,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab
Don't Start Now,Dua Lipa,2053840589,3PfIrDoz19wz7qK7tYeu62,https://i.scdn.co/image/ab67616d0000b2734bc66095f8a70bc4e6593f4f
rockstar,Post Malone,2052310834,0e7ipj03S05BNilyu5bRzt,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268
Señorita,Shawn Mendes,2046655077,6v3KW9xbzN5yKLt9YKDYA2,https://i.scdn.co/image/ab67616d0000b273c820f033bd82bef4355d1563
Sweater Weather,The Neighbourhood,1930499713,2QjOHCTQ1Jl3zawyYOpxh6,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921
Circles,Post Malone,1887977040,21jGcNKet2qwijlDFuPiPb,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02
bad guy,Billie Eilish,1884644878,2Fxmhks0bxGSBdJ92vM42m,https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce
Lucid Dreams,Juice WRLD,1819372412,285pBltuF7vW8TeWk8hdRR,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4
Closer,The Chainsmokers,1783408318,7BKLCZ1jbUBVqRi2FVlTVw,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453
Cold Heart - PNAU Remix,Elton John,1736846626,6zSpb8dQRaw0M1dK8PBwQz,https://i.scdn.co/image/ab67616d0000b2739f5cce8304c42d3a5463fd23
Shallow,Lady Gaga,1707756803,2VxeLyX666F8uXCJ0dZF8B,https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342
Another Love,Tom Odell,1653727847,3JvKfv6T31zO0ini8iNItO,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f
INDUSTRY BABY,Lil Nas X,1629821771,5Z9KJZvQzH6PFmb8SNkxuk,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd
good 4 u,Olivia Rodrigo,1622311439,4ZtFanR9U6ndgddUvNcjcG,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a
Flowers,Miley Cyrus,1611834040,7DSAEUvxU8FajXtRloy8M0,https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5
Me Porto Bonito,Bad Bunny,1597142155,6Sq7ltF9Qa7SNFBsV5Cogx,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72
drivers license,Olivia Rodrigo,1595963086,5wANPM4fQCJwkGd4rN57mH,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a
