title,artist,streams
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1020408903
No Role Modelz,J. Cole,949709711
Lucid Dreams,Juice WRLD,887092070
XO TOUR Llif3,Lil Uzi Vert,781911047
rockstar,Post Malone,718865961
Blinding Lights,The Weeknd,694821473
goosebumps,Travis Scott,672972704
All Girls Are The Same,Juice WRLD,662655539
HUMBLE.,Kendrick Lamar,658641702
Drip Too Hard (Lil Baby & Gunna),Lil Baby,655214446
Heat Waves,Glass Animals,642129829
Circles,Post Malone,629198512
Jocelyn Flores,XXXTENTACION,624457164
SAD!,XXXTENTACION,619879245
SICKO MODE,Travis Scott,586638599
Sweater Weather,The Neighbourhood,572144239
As It Was,Harry Styles,550101232
Congratulations,Post Malone,546036924
MIDDLE CHILD,J. Cole,543756685
I Fall Apart,Post Malone,543144261
God's Plan,Drake,534994242
Ric Flair Drip,Offset,521906123
Whiskey Glasses,Morgan Wallen,516603982
The Box,Roddy Ricch,504210201
One Dance,Drake,473712935
Fuck Love,XXXTENTACION,473417295
Yes Indeed,Lil Baby,466073278
Stay,The Kid LAROI,465210874
Better Now,Post Malone,463551468
Starboy,The Weeknd,460436382
good 4 u,Olivia Rodrigo,458684619
Kill Bill,SZA,455307732
SLOW DANCING IN THE DARK,Joji,443778087
Robbery,Juice WRLD,443773199
Wasted On You,Morgan Wallen,443723573
Die For You,The Weeknd,442648342
lovely,Billie Eilish,441174226
The Hills,The Weeknd,433829877
Moonlight,XXXTENTACION,431568186
Last Night,Morgan Wallen,427314166
Bad Habit,Steve Lacy,425443932
LOVE. FEAT. ZACARI.,Kendrick Lamar,424030815
Someone You Loved,Lewis Capaldi,412129838
Watermelon Sugar,Harry Styles,409630847
Wow.,Post Malone,405812776
Location,Khalid,403645089
Dark Red,Steve Lacy,401445185
Closer,The Chainsmokers,397735618
Psycho,Post Malone,396525691
Something in the Orange,Zach Bryan,396456135
Redbone,Childish Gambino,392334227
Levitating,Dua Lipa,387860108
bad guy,Billie Eilish,386217738
See You Again,"Tyler, The Creator",384899927
drivers license,Olivia Rodrigo,381085710
