title,artist,streams,id,image,preview,popularity,url,release_date,artistId,rap,pop,edm,rock,country,latin,kpop
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1020408903,0RiRZpuVRbi7oqRdSMwhQY,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,https://p.scdn.co/mp3-preview/3c0788c6aba94192edcb497d9a02075bf76c5400?cid=e06033cb82944a2fabf676f565716d87,87.0,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,2019-09-06,246dkjvS1zLTtiykXe5h60,True,True,,,,,
No Role Modelz,J. Cole,949709711,68Dni7IE4VyPkTOH9mRWHr,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,https://p.scdn.co/mp3-preview/062b69c85ad8361d6d7e484aa798b3596d174306?cid=e06033cb82944a2fabf676f565716d87,91.0,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr,2014-12-09,6l3HvQ5sa6mXTsMTB19rO5,True,,,,,,
Lucid Dreams,Juice WRLD,887092070,285pBltuF7vW8TeWk8hdRR,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,https://p.scdn.co/mp3-preview/85ba40ef782e993bac9ee1c945f90c123b11ffec?cid=e06033cb82944a2fabf676f565716d87,86.0,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2018-12-10,4MCBfE4596Uoi2O4DtmEMz,True,,,,,,
XO TOUR Llif3,Lil Uzi Vert,781911047,7GX5flRQZVHRAGd6B4TmDO,https://i.scdn.co/image/ab67616d0000b27341b41e6f7924e530a9b00f9c,https://p.scdn.co/mp3-preview/115d957b81400862451425d9591dfa938da476da?cid=e06033cb82944a2fabf676f565716d87,85.0,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,2017-08-25,4O15NlyKLIASxsJ0PrXPfz,True,,,,,,
rockstar,Post Malone,718865961,0e7ipj03S05BNilyu5bRzt,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268,https://p.scdn.co/mp3-preview/beb04a51a925ea2ed2fb7c2363b7b3fa37ebc89b?cid=e06033cb82944a2fabf676f565716d87,85.0,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2018-04-27,246dkjvS1zLTtiykXe5h60,True,True,,,,,
Blinding Lights,The Weeknd,694821473,0VjIjW4GlUZAMYd2vXMi3b,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,https://p.scdn.co/mp3-preview/51c08d92815cce4ac2de94a7335a430b81234624?cid=e06033cb82944a2fabf676f565716d87,92.0,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,2020-03-20,1Xyo4u8uXC1ZmMpatF05PJ,True,True,,,,,
goosebumps,Travis Scott,672972704,6gBFPUFcJLzWGx4lenP6h2,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce,https://p.scdn.co/mp3-preview/5c45fee2743d39984ed2c1e2493d04a42d626f81?cid=e06033cb82944a2fabf676f565716d87,88.0,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2016-09-16,0Y5tJX1MQlPlqiwlOH1tJY,True,,True,,,,
All Girls Are The Same,Juice WRLD,662655539,4VXIryQMWpIdGgYR4TrjT1,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,https://p.scdn.co/mp3-preview/2f5e0faa19970ea5f6e116e7171c6d42d97c71af?cid=e06033cb82944a2fabf676f565716d87,87.0,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,2018-12-10,4MCBfE4596Uoi2O4DtmEMz,True,,,,,,
HUMBLE.,Kendrick Lamar,658641702,7KXjTSCq5nL1LoYtL7XAwS,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699,https://p.scdn.co/mp3-preview/4e6df1ccb505e0d8a8f79086c321762a2b84bfd8?cid=e06033cb82944a2fabf676f565716d87,86.0,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,2017-04-14,2YZyLoL8N0Wb9xBt1NhZWg,True,,,,,,
Drip Too Hard (Lil Baby & Gunna),Lil Baby,655214446,78QR3Wp35dqAhFEc2qAGjE,https://i.scdn.co/image/ab67616d0000b273ce159a3ba2096e13fa9d4b4c,https://p.scdn.co/mp3-preview/613d9fe82d39123b5f37cfcbc9e3c22431fd3c8a?cid=e06033cb82944a2fabf676f565716d87,86.0,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2018-10-05,5f7VJjfbwm532GiveGC0ZK,True,,,,,,
